ticker,name,exchange,category name,country,,,
ALADO.PA,Adomos S.A.,PAR,Property Management,France,,,
AKA.PA,Akka Technologies,PAR,Business Services,France,,,
ACA.PA,Credit Agricole S.A.,PAR,Money Center Banks,France,,,
WFM.F,Whole Foods Market, Inc.,FRA,Grocery Stores,France,,,
VVU.DE,Vivendi SA,FRA,Wireless Communications,France,,,
VLAP.PA,Valneva SE,PAR,Biotechnology,France,,,
VCT.PA,Vicat SA,PAR,General Building Materials,France,,,
UFF.PA,Union Financiere de France Banque SA,PAR,Asset Management,France,,,
UDIS.PA,U10 SA,PAR,Home Furnishings & Fixtures,France,,,
TNG.PA,Transgene SA,PAR,Biotechnology,France,,,
MLFIH.PA,Industrial Holding S.P.A,PAR,Real Estate Development,France,,,
HSB.PA,HSBC Holdings plc,PAR,Money Center Banks,France,,,
SON1.DE,Sony Corporation,FRA,Electronic Equipment,France,,,
MSTY.PA,Mainstay Medical International plc,PAR,Medical Appliances & Equipment,France,,,
GJAJ.PA,Groupe JAJ,PAR,Textile - Apparel Clothing,France,,,
DEC.PA,JCDecaux SA,PAR,Advertising Agencies,France,,,
CMC.F,JPMorgan Chase & Co.,FRA,Money Center Banks,France,,,
MLEST.PA,Societe Du Journal L'Est Republicain Société Anonyme,PAR,Publishing - Newspapers,France,,,
TOM.F,Toyota Motor Corporation,FRA,Auto Manufacturers - Major,France,,,
JNJ.F,Johnson & Johnson,FRA,Drug Manufacturers - Major,France,,,
TSE1.F,Toshiba Corporation,FRA,Diversified Machinery,France,,,
MLJAN.PA,Jane France,PAR,Beverages - Soft Drinks,France,,,
MLKRI.PA,Bernard Krief Consultants SA,PAR,Mortgage Investment,France,,,
KPN.DE,Koninklijke KPN N.V.,FRA,Wireless Communications,France,,,
KOF.PA,Kaufman & Broad S.A.,PAR,Residential Construction,France,,,
KEY.PA,Keyrus S.A.,PAR,Information Technology Services,France,,,
ALKEY.PA,Keyyo S.A.,PAR,Wireless Communications,France,,,
KABN.F,dormakaba Holding AG,FRA,Security & Protection Services,France,,,
KGX.F,KION GROUP AG,FRA,Trucks & Other Vehicles,France,,,
LAX.PA,Stelax Industries Ltd.,PAR,Conglomerates,France,,,
PM.PA,Philip Morris International Inc.,PAR,Tobacco Products, Other,France,,,
MLSEQ.PA,Sequa Petroleum N.V.,PAR,Independent Oil & Gas,France,,,
MTE.DE,Micron Technology, Inc.,FRA,Semiconductor- Memory Chips,France,,,
MMM.F,3M Company,FRA,Diversified Machinery,France,,,
STM.PA,STMicroelectronics N.V.,PAR,Semiconductor - Broad Line,France,,,
QIA.F,QIAGEN N.V.,FRA,Medical Laboratories & Research,France,,,
PHI1.DE,Koninklijke Philips N.V.,FRA,Electronic Equipment,France,,,
NXI.PA,Nexity SA,PAR,Property Management,France,,,
NTH.F,Northrop Grumman Corporation,FRA,Aerospace/Defense - Major Diversified,France,,,
NRO.PA,Neurones S.A.,PAR,Information Technology Services,France,,,
NGLB.F,Anglo American plc,FRA,Industrial Metals & Minerals,France,,,
NEX.PA,Nexans S.A.,PAR,Diversified Machinery,France,,,
ORP.PA,ORPEA Société Anonyme,PAR,Long-Term Care Facilities,France,,,
ORAP.PA,Orapi,PAR,Specialty Chemicals,France,,,
OLG.PA,Olympique Lyonnais Groupe SA,PAR,Broadcasting - TV,France,,,
MLONE.PA,Body One SA,PAR,Textile - Apparel Clothing,France,,,
ALONC.PA,Oncodesign Société Anonyme,PAR,Biotechnology,France,,,
ALODI.PA,O2i Société Anonyme,PAR,Technical & System Software,France,,,
ORC.F,Oracle Corporation,FRA,Business Software & Services,France,,,
AOX.F,alstria office REIT-AG,FRA,REIT - Office,France,,,
OSP2.F,USU Software AG,FRA,Information Technology Services,France,,,
OHB.F,OHB SE,FRA,Aerospace/Defense - Major Diversified,France,,,
QSC.F,QSC AG,FRA,Wireless Communications,France,,,
QCI.F,QUALCOMM Incorporated,FRA,Communication Equipment,France,,,
QB7.F,Quirin Privatbank AG,FRA,Money Center Banks,France,,,
QS5.F,Straumann Holding AG,FRA,Medical Instruments & Supplies,France,,,
QYM.F,Sociedad Química y Minera de Chile S.A.,FRA,Chemicals - Major Diversified,France,,,
AGTA.PA,agta record ag,PAR,General Building Materials,France,,,
SQI.PA,SQLi,PAR,Information Technology Services,France,,,
RX.PA,Recylex S.A.,PAR,Industrial Metals & Minerals,France,,,
CATR.PA,Caterpillar Inc.,PAR,Farm & Construction Machinery,France,,,
CIS.DE,Cisco Systems, Inc.,FRA,Communication Equipment,France,,,
CHV.F,Chevron Corporation,FRA,Major Integrated Oil & Gas,France,,,
WMT.DE,Wal-Mart Stores, Inc.,FRA,Discount, Variety Stores,France,,,
UPAB.F,United Parcel Service, Inc.,FRA,Air Delivery & Freight Services,France,,,
UNH.F,UnitedHealth Group Incorporated,FRA,Health Care Plans,France,,,
SSU.F,Samsung Electronics Co., Ltd.,FRA,Electronic Equipment,France,,,
SRB.F,Starbucks Corporation,FRA,Restaurants,France,,,
SONA.F,Sony Corporation,FRA,Electronic Equipment,France,,,
REPA.F,Repsol, S.A.,FRA,Major Integrated Oil & Gas,France,,,
PEP.F,Pepsico, Inc.,FRA,Beverages - Soft Drinks,France,,,
MRK.PA,Merck & Co., Inc.,PAR,Drug Manufacturers - Major,France,,,
MOO.F,Monsanto Company,FRA,Agricultural Chemicals,France,,,
MDO.DE,McDonald's Corporation,FRA,Restaurants,France,,,
INL.DE,Intel Corporation,FRA,Semiconductor - Broad Line,France,,,
ILU.F,Illumina, Inc.,FRA,Medical Instruments & Supplies,France,,,
IBM.DE,International Business Machines Corporation,FRA,Information Technology Services,France,,,
HBC2.F,HSBC Holdings plc,FRA,Money Center Banks,France,,,
GAZ.F,Public Joint Stock Company Gazprom,FRA,Major Integrated Oil & Gas,France,,,
FDX.F,FedEx Corporation,FRA,Air Delivery & Freight Services,France,,,
DTEA.F,Deutsche Telekom AG,FRA,Wireless Communications,France,,,
CPA.DE,Colgate-Palmolive Company,FRA,Personal Products,France,,,
CIS.F,Cisco Systems, Inc.,FRA,Communication Equipment,France,,,
BHP.F,BHP Billiton Limited,FRA,Industrial Metals & Minerals,France,,,
BAYA.F,Bayer Aktiengesellschaft,FRA,Drug Manufacturers - Major,France,,,
BAC.F,Verizon Communications Inc.,FRA,Wireless Communications,France,,,
B1C.F,Baidu, Inc.,FRA,Internet Information Providers,France,,,
APC.F,Apple Inc.,FRA,Electronic Equipment,France,,,
APC.DE,Apple Inc.,FRA,Electronic Equipment,France,,,
ALUCR.PA,UCAR SA,PAR,Rental & Leasing Services,France,,,
ALD.F,Honeywell International Inc.,FRA,Diversified Machinery,France,,,
RIN.PA,VILMORIN & CIE,PAR,Farm Products,France,,,
MLVER.PA,Verney-Carron SA,PAR,Aerospace/Defense - Major Diversified,France,,,
GV.PA,Genomic Vision Société Anonyme,PAR,Food - Major Diversified,France,,,
DG.PA,VINCI SA,PAR,General Contractors,France,,,
CVLA.F,Vale S.A.,FRA,Industrial Metals & Minerals,France,,,
CRAV.PA,Crédit Agricole Atlantique Vendée,PAR,Money Center Banks,France,,,
BMW3.F,Bayerische Motoren Werke Aktiengesellschaft,FRA,Auto Manufacturers - Major,France,,,
ALVXM.PA,Vexim SA,PAR,Medical Instruments & Supplies,France,,,
ALVMG.PA,Visiomed Group SA,PAR,Medical Appliances & Equipment,France,,,
ALVDM.PA,Voyageurs du Monde Société Anonyme,PAR,Recreational Goods, Other,France,,,
ALVDI.PA,VDI Group Société Anonyme,PAR,Specialty Retail, Other,France,,,
VWS.F,Vestas Wind Systems A/S,FRA,Diversified Machinery,France,,,
VAC.DE,Vallourec SA,FRA,Steel & Iron,France,,,
EIN3.F,Einhell Germany AG,FRA,Machine Tools & Accessories,France,,,
PFV.F,Pfeiffer Vacuum Technology AG,FRA,Diversified Machinery,France,,,
VOW4.F,Volkswagen Aktiengesellschaft,FRA,Auto Manufacturers - Major,France,,,
MLVES.PA,Vestasia Limited,PAR,Asset Management,France,,,
3V64.F,Visa Inc.,FRA,Credit Services,France,,,
HEN3.F,Henkel AG & Co. KGaA,FRA,Personal Products,France,,,
BIO3.F,Biotest Aktiengesellschaft,FRA,Biotechnology,France,,,
VIB3.F,Villeroy & Boch AG,FRA,Home Furnishings & Fixtures,France,,,
VOS.F,Vossloh AG,FRA,Railroads,France,,,
SHWK.F,SHS VIVEON AG,FRA,Information Technology Services,France,,,
MLPHW.PA,Phone Web SA,PAR,Business Services,France,,,
MBWS.PA,Marie Brizard Wine & Spirits SA,PAR,Beverages - Wineries & Distillers,France,,,
ALWEB.PA,Weborama SA,PAR,Internet Information Providers,France,,,
VWSA.F,Vestas Wind Systems A/S,FRA,Diversified Machinery,France,,,
KWG.F,KHD Humboldt Wedag International AG,FRA,Industrial Equipment Wholesale,France,,,
WL6.F,Wilex AG,FRA,Biotechnology,France,,,
DWNI.F,Deutsche Wohnen SE,FRA,Real Estate Development,France,,,
WAC.F,Wacker Neuson SE,FRA,Farm & Construction Machinery,France,,,
WUG3.F,Westag & Getalit AG,FRA,Home Furnishings & Fixtures,France,,,
WDP.F,The Walt Disney Company,FRA,Entertainment - Diversified,France,,,
